firstname,commonname,playerjerseyname,surname,playerid
Edson Arantes,Pelé,Pelé,do Nascimento,190043
Edson Arantes,Pelé,Pelé,do Nascimento,237067
Edson Arantes,Pelé,Pelé,do Nascimento,237068
Diego,,Maradona,Maradona,190042
Diego,,Maradona,Maradona,237073
Diego,,Maradona,Maradona,237074
Ronaldo,Ronaldo,Ronaldo,Nazário,37576
Ronaldo,Ronaldo,Ronaldo,Nazário,237064
Ronaldo,Ronaldo,Ronaldo,Nazário,237063
Paolo,,Maldini,Maldini,238439
Ronaldo,Ronaldinho,Ronaldinho,de Assis Moreira,28130
Ronaldo,Ronaldinho,Ronaldinho,de Assis Moreira,238395
Ronaldo,Ronaldinho,Ronaldinho,de Assis Moreira,238706
Lev,,Yashin,Yashin,238193
Lev,,Yashin,Yashin,238380
Lev,,Yashin,Yashin,238381
Lothar,,Matthäus,Matthäus,238435
Marco,,V.Basten,Van Basten,192181
Ruud,,Gullit,Gullit,214100
Thierry,,Henry,Henry,1625
Thierry,,Henry,Henry,237062
Thierry,,Henry,Henry,237069
Dennis,,Bergkamp,Bergkamp,4000
Alessandro,,Nesta,Nesta,1088
Javier,,Zanetti,Zanetti,1041
Alessandro,,Del Piero,Del Piero,238382
Carles,,Puyol,Puyol,238384
Peter,,Schmeichel,Schmeichel,238428
Laurent ,,Blanc,Blanc,238443
Patrick,,Kluivert,Kluivert,238424
Michael,,Laudrup,Laudrup,222000
Gheorghe,,Hagi,Hagi,166124
Edwin,,Van Der Sar,Van Der Sar,51539
Andriy,,Shevchenko,Shevchenko,13128
Marcel,,Desailly,Desailly,1116
Alan,,Shearer,Shearer,51
Robert ,,Pires,Pires,1605
Patrick,,Viera,Viera,238427
Michael,,Owen,Owen,5419
Roberto ,,R.Carlos,Carlos,238430
Henrik,,Larsson,Larsson,239261
Marc,,Overmars,Overmars,238441
Frank ,,Rijkaard,Rijkaard,214098
Luis,,Hernandez,Hernandez,156353
Hernan,,Crespo,Crespo,7512
Jari,,Litmanen,Litmanen,5673
Emmanuel,,Petit,Petit,1620
Filippo,,Inzaghi,Inzaghi,1198
Rui ,,Costa,Costa,1025
Anderson Luís,Deco,Deco,de Souza,53769
