homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
8,2,7,4,7,5,26,0,0,0,0,0,1,1,0,210,8,1,0,9,269,8,3,0,14,3,2,0,2,0,1,0,2,51
3,10,4,8,5,4,40,0,0,0,0,0,1,1,0,11210,3,1,1,9,271,3,1,8,12,2,0,1,2,0,1,3,3,44
4,8,3,13,6,9,33,0,0,0,0,0,1,1,0,1210,5,0,2,9,272,5,1,8,6,3,1,0,2,0,4,0,3,22
5,4,11,1,8,4,66,0,0,0,0,0,1,1,0,21220,0,3,3,9,819,0,3,0,19,1,1,0,2,0,1,1,0,70
3,5,4,3,4,6,40,0,0,0,0,0,1,1,0,21011,10,2,4,9,820,10,2,10,15,1,1,0,1,0,1,2,1,55
7,12,5,12,3,5,20,0,0,0,0,0,1,1,0,10011,5,1,5,9,822,5,0,3,8,2,2,0,1,0,1,4,1,29
8,13,8,5,4,4,80,0,0,0,0,0,1,1,0,22202,8,2,6,9,1445,8,2,3,14,0,2,0,0,0,1,1,1,51
5,6,6,6,3,6,53,0,0,0,0,0,1,1,0,1212,8,1,7,9,1446,8,2,3,13,0,0,1,0,0,2,0,4,48
3,9,5,9,8,9,46,0,0,0,0,0,1,1,0,2012,3,2,8,9,1447,3,1,3,11,1,1,0,0,0,3,1,1,40
2,1,12,2,7,6,73,0,0,0,0,1,1,1,0,21212,10,4,9,9,1516,10,1,0,18,2,0,1,0,0,1,2,1,66
4,11,6,10,5,11,33,0,0,0,0,0,1,1,0,12010,3,2,10,9,1786,3,0,3,10,1,1,0,2,0,2,2,2,37
3,3,10,7,1,4,46,0,0,0,0,0,1,1,0,2012,3,3,11,9,1788,3,0,10,12,3,1,0,0,0,2,2,1,44
7,14,6,11,5,8,20,0,0,0,0,0,1,1,0,10011,5,1,12,9,111660,5,1,5,9,1,2,0,1,0,2,1,2,33
9,7,4,14,5,10,33,0,0,0,0,0,1,1,0,20011,5,1,13,9,112425,5,0,3,6,2,3,0,1,0,2,3,0,22
3,2,8,4,7,5,46,0,0,0,0,0,4,4,0,22010,10,2,14,7,229,10,2,0,13,2,0,1,2,0,2,0,1,61
2,8,7,3,3,1,73,0,0,1,1,0,4,4,0,21212,10,2,15,7,230,10,2,3,15,0,0,1,0,1,0,1,2,71
4,1,12,1,7,3,86,0,0,0,1,1,4,4,0,21222,0,4,16,7,231,0,2,0,19,1,0,1,0,1,0,1,0,90
4,6,6,6,4,2,53,0,0,0,0,0,4,4,0,12201,8,2,17,7,232,8,1,8,12,1,0,1,1,0,1,1,2,57
6,3,4,10,5,4,26,0,0,0,0,0,4,4,0,21,3,1,18,7,670,3,1,3,7,1,3,0,1,0,1,1,0,33
4,5,8,2,9,3,86,0,0,1,1,0,4,4,0,22212,10,3,19,7,673,10,2,10,17,1,0,1,0,1,0,1,1,80
5,4,8,5,8,5,80,0,0,0,0,0,4,4,0,22220,8,2,20,7,674,8,2,8,13,1,1,0,2,0,1,0,1,61
1,10,2,7,7,7,53,0,0,0,0,0,4,4,0,11022,3,1,21,7,680,3,1,3,10,1,0,1,0,0,1,2,2,47
5,11,6,8,4,7,46,0,0,0,0,0,4,4,0,2201,3,2,22,7,682,3,1,3,10,1,1,0,1,0,2,0,1,47
6,16,6,9,1,2,33,0,0,0,0,0,4,4,0,12001,3,2,23,7,1750,3,0,5,9,0,1,0,1,0,1,3,0,42
7,13,1,15,5,8,26,0,0,0,0,0,4,4,0,10020,3,1,24,7,2007,3,0,5,4,0,2,0,2,0,3,1,0,19
