teamidloanedfrom,playerid,loandateend
1796,138436,159324
101083,142592,159505
241,143745,159841
448,146947,159505
2,155979,159475
1878,156434,159324
1881,158595,159324
1970,161733,159475
1792,163209,159505
7,163824,159505
5,163873,159505
14,164467,159325
101099,165784,159324
55,166072,159505
1048,167379,159324
112387,168883,159505
101114,169321,159475
88,169609,159505
1882,170966,159475
1032,171364,159324
80,171881,159505
7,172175,159505
1801,172179,159505
1871,172756,159324
44,173306,159505
4,173531,159505
2,175932,159475
110890,176442,159325
101014,176481,159475
110152,176545,159505
1,176550,159505
1960,176571,159475
112165,176619,159505
1970,177877,159475
1879,177955,159324
59,178031,159505
111239,178032,159505
101085,179698,159505
1879,179808,159475
322,179971,159475
2,180635,159505
101020,181236,159475
111779,181271,159324
112224,181468,159505
110955,182094,159324
88,182207,159224
111560,182228,159505
112983,182423,159324
110955,182949,159324
450,183068,159505
13,183256,159505
101014,183284,159475
670,183392,159505
46,183414,159505
144,183518,159505
8,183940,159505
417,183945,159505
1914,183993,159505
106,184082,159505
10,184220,159505
1943,184469,159505
91,184515,159505
9,184585,159505
1807,184624,159505
91,184747,159505
86,184777,159475
1876,184982,159505
112162,185090,159324
199,185120,159505
110556,185163,159505
467,185181,159505
1799,186117,159324
1794,186127,159505
1808,186143,159325
245,186452,159505
199,186614,159505
101114,186650,159324
1806,186672,159505
1032,186990,159475
86,186999,159324
111678,187075,159324
101121,187093,159475
1879,187193,159324
110147,187298,159324
1028,187350,159475
1878,187634,159475
241,187961,159505
242,188135,159505
101085,188196,159505
361,188831,159325
483,188879,159505
111678,188955,159505
7,189157,159505
101014,189263,159475
55,189288,159505
1961,189492,159325
232,189536,159505
112791,189558,159505
1797,189691,159505
112026,189723,159324
1962,189909,159325
62,190014,159505
1970,190034,159505
922,190454,159324
448,190507,159505
71,190516,159505
54,190544,159505
8,190572,159505
110145,190629,159475
1945,190962,159505
48,191011,159505
481,191210,159505
100409,191388,159505
101145,191980,159355
1880,192009,159324
39,192071,159505
1439,192101,159324
1878,192110,159324
2,192317,159505
7,192319,159505
2,192320,159505
1032,192342,159324
109,192667,159505
1048,192687,159324
22,193130,159871
111839,193198,159505
485,193272,159324
86,193357,159505
483,193361,159505
485,193420,159871
241,193429,159475
74,193554,159505
1903,193706,159505
503,193749,159505
110,193798,159326
982,193847,159324
13,193942,159505
1801,193956,159505
1809,193983,159505
469,194076,159505
573,194174,159505
45,194753,159505
1842,194783,159505
1516,194904,159689
1960,194996,159505
110,195037,159505
217,195313,159505
110832,195687,159475
9,195859,159505
111839,196144,159505
110150,197164,159324
1806,197681,159505
1960,197756,159505
189,197926,159505
8,197953,159334
1808,198032,159325
461,198076,159505
111974,198136,159505
1923,198269,159505
236,198420,159505
1932,198437,159325
1867,198564,159505
229,198584,159505
111678,198749,159475
189,198760,159689
15005,198811,159324
1746,198857,159505
1801,199010,159325
191,199353,159324
17,199422,159505
1794,199516,159505
48,199559,159505
1530,199574,159505
110580,199726,159505
36,199761,159505
247,199833,159505
1819,199895,159505
327,200106,159505
1928,200312,159325
110,200346,159505
112026,200438,159475
112162,200588,159328
1917,200667,159324
1794,200689,159325
1794,200742,159505
7,200765,159505
111019,200826,159324
50,200877,159505
110374,201046,159505
48,201049,159505
111091,201132,159505
57,201138,159505
10029,201290,159505
687,201359,159324
55,201363,159505
452,201403,159505
485,201526,159324
192,201883,159505
1925,202125,159505
45,202135,159505
110580,202154,159505
2007,202200,159505
28,202428,159505
1808,202465,159505
14,202517,159505
461,202685,159505
1796,202686,159505
12,202770,159505
110,202799,159505
52,202851,159505
1792,203161,159505
1795,203177,159505
234,203299,159505
1794,203348,159505
573,203377,159505
1843,203393,159505
8,203399,159475
1795,203464,159505
50,203672,159505
9,203775,159841
1792,203824,159325
71,203884,159505
322,203903,159505
112977,204060,159475
54,204077,159505
673,204121,159475
113173,204180,159324
5,204233,159505
1808,204276,159505
5,204311,159505
100888,204346,159505
86,204354,159325
245,204367,159505
97,204412,159325
1837,204437,159505
1792,204444,159505
1799,204499,159505
7,204519,159505
5,204529,159505
1970,204539,159505
229,204549,159505
39,204616,159505
234,204737,159505
234,204838,159505
