firstnameid,lastnameid,playerjerseynameid,commonnameid,trait2,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,tattoobackneck,preferredposition3,longpassing,penalties,animfreekickstartposcode,animpenaltieskickstylecode,isretiring,longshots,gkdiving,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,vision,contractvaliduntil,animpenaltiesapproachcode,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,sprintspeed,height,hasseasonaljersey,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,ballcontrol,shotpower,trait1,socklengthcode,weight,hashighqualityhead,gkglovetypecode,tattoorightarm,balance,gender,headassetid,gkkicking,internationalrep,animpenaltiesmotionstylecode,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,attackingworkrate,finishingcode2,aggression,acceleration,headingaccuracy,iscustomized,eyebrowcode,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,defensiveworkrate,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,skintypecode,tattoorightneck,gkkickstyle,stamina,playerid,marking,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,skintonecode,shortstyle,overallrating,tattooleftneck,emotion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,runningcode1,preferredposition4,volleys,accessorycolourcode2,facialhaircolorcode
16017,9260,16033,16034,98304,6,4,76,1,62,0,0,72,0,65,43,0,10,71,75,0,1,0,71,9,71,31,68,71,11,0,65,79,73,2019,1,64,69,40,0,0,1513,50,178,0,18,60,54,145482,14,71,72,263168,2,65,0,0,0,72,0,16,13,1,0,76,77,2,4,0,0,0,71,56,61,0,0,0,1,12,1,0,0,0,157698,1,0,45,1,0,4,54,2,0,0,64,16,70,0,11,0,2,2,0,71,0,3,0,0,0,30,0,1,0,0,-1,68,0,2
1601,11786,56,11785,5120,9,6,88,1,85,0,0,90,0,92,57,0,-1,91,83,0,0,0,84,6,75,31,91,96,7,0,92,89,94,2021,1,91,90,56,0,0,4003,81,171,3,16,74,265,153140,14,97,82,270336,0,68,1,0,0,90,0,41,6,5,0,92,83,3,0,0,2,0,65,82,76,0,0,0,3,13,5,0,0,0,159222,0,0,45,1,0,4,75,0,0,0,81,41,67,0,13,0,3,3,0,92,0,1,0,0,0,30,0,8,0,0,-1,88,0,0
7757,2932,7757,0,0,6,6,83,1,68,0,0,63,0,141,67,0,-1,87,85,0,1,0,76,7,66,31,80,79,8,0,73,80,86,2019,1,68,78,60,0,1,1521,38,169,0,10,65,61,145330,14,82,77,361472,0,72,0,0,0,81,0,80,7,2,0,86,80,3,3,0,0,0,87,54,43,0,0,0,1,11,3,0,0,16,158053,1,1,48,2,0,4,72,2,0,0,61,80,65,0,14,0,2,2,0,79,0,5,0,0,0,30,0,9,0,0,-1,69,0,2
9552,21224,21224,0,0,1,8,58,1,69,0,0,61,0,148,71,0,-1,64,65,0,0,0,65,5,70,31,63,70,13,0,67,68,65,2019,1,53,66,66,0,0,1512,62,180,3,14,67,127,145515,10,67,71,1024,0,76,0,0,0,63,0,164,7,2,0,69,54,2,4,0,1,0,75,65,62,0,1,0,1,15,3,0,0,0,158837,1,2,27,1,0,3,69,2,0,0,74,164,74,0,6,0,1,5,0,70,0,5,0,0,0,30,0,2,0,0,-1,61,0,0
6225,26987,26987,0,1024,6,6,68,1,60,0,0,55,0,37,66,0,-1,68,66,0,0,0,66,6,63,31,64,66,7,0,67,82,64,2019,1,59,62,62,0,0,2006,33,168,3,14,58,94,146224,10,68,70,0,0,70,0,0,0,91,0,657,10,1,0,72,67,1,0,0,0,0,74,33,58,0,2,0,1,9,3,0,0,0,159146,1,2,50,2,0,3,60,2,0,0,50,657,59,0,9,0,2,2,0,66,0,3,0,0,0,30,0,9,0,0,-1,57,0,3
8402,6007,8402,8402,0,1,12,49,1,49,0,0,29,0,18,80,0,-1,64,35,0,0,0,40,11,81,31,34,75,5,0,72,68,46,2020,1,20,44,76,0,0,2000,41,188,0,-1,67,24,146753,5,60,68,0,0,75,0,0,0,63,0,768,8,2,0,62,21,1,4,0,1,0,70,38,74,0,0,0,1,6,9,0,0,0,158779,1,0,54,2,0,3,70,2,0,0,48,768,77,0,9,0,1,5,0,75,0,3,0,0,0,30,0,4,0,0,-1,19,0,0
9564,4032,4032,0,263168,1,4,20,1,55,0,0,12,0,42,11,0,-1,35,22,0,0,0,13,94,28,31,13,88,91,0,79,70,50,2019,1,15,26,11,0,0,2001,43,192,0,-1,69,217,153140,0,28,39,0,0,92,1,123,0,49,0,1179,82,4,0,37,13,0,4,0,0,0,38,49,13,0,1,0,3,92,1,0,0,0,159222,0,0,27,1,0,2,75,2,0,3,39,1179,13,0,96,0,0,3,0,94,0,3,0,0,0,30,0,5,0,0,-1,17,0,0
16380,25036,25036,0,262144,6,6,13,1,30,0,0,12,0,36,15,0,-1,37,23,0,0,0,11,85,26,31,18,85,83,0,72,59,40,2019,1,11,12,14,0,0,1520,36,197,1,-1,77,256,153140,0,31,13,0,2,92,1,103,0,27,0,2147,84,2,0,39,13,0,0,0,0,0,41,30,14,0,1,0,1,81,6,1,0,0,158414,0,0,34,1,0,4,55,2,0,1,30,2147,9,0,80,0,0,3,0,82,0,3,0,0,0,30,0,4,0,0,-1,11,0,2
154,27779,27779,0,131072,3,8,48,1,35,0,0,69,0,43,20,0,-1,41,68,0,0,0,47,12,26,31,49,63,9,0,67,69,68,2019,1,62,49,19,0,0,4002,40,191,0,-1,82,265,145008,25,63,60,0,0,72,0,0,0,51,0,2335,10,1,0,68,42,1,3,0,0,0,83,35,75,0,0,0,1,13,5,0,0,0,159141,1,0,14,1,0,3,66,2,0,0,34,2335,24,0,10,0,1,2,0,63,0,3,1,0,0,30,0,5,0,0,-1,56,0,0
14015,7661,7661,0,0,6,6,63,1,62,0,0,62,0,0,36,0,-1,47,60,0,0,0,67,7,53,31,59,57,6,0,60,71,61,2019,1,60,65,34,0,0,2028,35,180,1,25,82,101,144768,16,61,69,66564,0,76,0,0,0,66,0,2702,6,1,0,54,62,1,0,0,2,0,75,36,61,0,2,0,1,11,1,1,0,0,156584,1,1,14,2,0,3,67,2,0,0,55,2702,41,0,14,0,2,2,0,57,0,4,0,0,0,30,0,2,0,0,-1,63,0,4
22367,18362,25708,25708,0,1,8,65,1,57,0,0,72,0,93,71,0,-1,73,66,0,0,0,73,12,76,31,62,75,16,0,78,82,77,2020,0,64,71,59,0,0,22,52,188,3,10,78,66,146455,14,75,75,66592,0,78,0,0,0,52,0,3281,16,1,0,78,57,2,0,0,0,0,75,51,77,0,1,0,1,6,3,0,0,0,155489,1,0,38,1,0,3,69,2,0,0,54,3281,72,0,7,0,2,2,0,75,0,3,0,0,0,30,0,4,0,0,-1,69,0,0
12819,19775,19775,0,0,1,6,57,1,57,0,0,32,0,92,84,0,-1,71,47,0,2,0,43,9,87,31,53,85,14,0,76,69,55,2019,0,29,64,91,0,0,4000,60,190,0,-1,81,50,153140,5,73,70,0,0,84,1,0,0,72,0,3484,13,2,0,60,65,1,4,0,0,0,81,62,82,0,0,0,1,14,3,0,0,0,159222,0,2,25,1,0,3,71,2,0,0,75,3484,83,0,10,0,1,1,0,82,0,3,0,0,0,30,0,5,0,0,-1,32,0,0
