leaguegoals,isamongtopscorers,yellows,isamongtopscorersinteam,jerseynumber,position,artificialkey,teamid,leaguegoalsprevmatch,injury,leagueappearances,istopscorer,leaguegoalsprevthreematches,playerid,form,reds
0,0,0,0,1,0,0,269,0,0,0,0,0,224041,1,0
1,0,0,1,13,3,1,269,0,0,0,0,0,198455,1,0
0,0,0,0,23,4,2,269,0,0,0,0,0,198479,1,0
0,0,0,0,4,6,3,269,0,0,0,0,0,205451,3,0
0,0,0,0,3,7,4,269,0,0,0,0,0,207897,1,0
0,0,0,0,22,10,5,269,0,0,0,0,0,211671,2,0
0,0,0,0,8,13,6,269,0,0,0,0,0,221924,3,0
0,0,0,0,12,15,7,269,0,0,0,0,0,207559,2,0
2,0,0,1,10,18,8,269,0,0,0,0,2,210021,2,0
8,1,0,1,20,24,9,269,2,0,0,1,3,190915,4,0
3,0,0,1,50,26,10,269,0,0,0,0,0,243946,3,0
1,0,0,1,11,28,11,269,0,0,0,0,0,213815,3,0
0,0,0,0,7,28,12,269,0,0,0,0,0,201066,2,0
0,0,0,0,6,28,13,269,0,0,0,0,0,208597,1,0
0,0,0,0,2,28,14,269,0,0,0,0,0,213835,3,0
0,0,0,0,16,28,15,269,0,0,0,0,0,222485,3,0
0,0,0,0,21,28,16,269,0,0,0,0,0,207916,3,0
0,0,0,0,24,28,17,269,0,0,0,0,0,236445,3,0
0,0,0,0,5,28,18,269,0,0,0,0,0,212238,3,0
1,0,0,1,18,28,19,269,0,0,0,0,1,224859,3,0
0,0,0,0,15,28,20,269,0,0,0,0,0,180174,3,0
0,0,0,0,35,28,21,269,0,0,0,0,0,245741,3,0
0,0,0,0,32,28,22,269,0,0,0,0,0,242633,3,0
0,0,0,0,14,29,23,269,0,0,0,0,0,215684,3,0
0,0,0,0,25,29,24,269,0,0,0,0,0,238932,3,0
0,0,0,0,40,29,25,269,0,0,0,0,0,242031,3,0
0,0,0,0,9,29,26,269,0,0,0,0,0,201526,2,0
0,0,0,0,1,0,27,271,0,0,0,0,0,220433,3,0
0,0,0,0,2,3,28,271,0,0,0,0,0,229657,3,0
0,0,0,0,23,4,29,271,0,0,0,0,0,172520,3,0
0,0,0,0,18,6,30,271,0,0,0,0,0,179646,3,0
2,0,0,1,16,7,31,271,1,0,0,0,2,212045,5,0
2,0,0,1,14,12,32,271,0,0,0,0,0,232711,4,0
1,0,0,0,8,13,33,271,0,0,0,0,0,199002,3,0
1,0,0,0,29,15,34,271,0,0,0,0,0,204987,3,0
2,0,0,1,7,16,35,271,1,0,0,0,1,201271,5,0
2,0,0,1,19,24,36,271,0,0,0,0,1,236474,4,0
2,0,0,1,11,26,37,271,1,0,0,0,2,191154,5,0
0,0,0,0,21,28,38,271,0,0,0,0,0,239159,3,0
0,0,0,0,6,28,39,271,0,0,0,0,0,190474,3,0
0,0,0,0,17,28,40,271,0,0,0,0,0,205153,4,0
0,0,0,0,3,28,41,271,0,0,0,0,0,193688,3,0
0,0,0,0,50,28,42,271,0,0,0,0,0,243130,3,0
0,0,0,0,10,28,43,271,0,0,0,0,0,231132,4,0
0,0,0,0,37,28,44,271,0,0,0,0,0,237930,3,0
0,0,0,0,38,28,45,271,0,0,0,0,0,241138,3,0
0,0,0,0,44,28,46,271,0,0,0,0,0,238378,3,0
0,0,0,0,33,28,47,271,0,0,0,0,0,239086,3,0
0,0,0,0,9,28,48,271,0,0,0,0,0,228639,3,0
0,0,0,0,22,28,49,271,0,0,0,0,0,234096,3,0
0,0,0,0,30,29,50,271,0,0,0,0,0,239813,3,0
0,0,0,0,35,29,51,271,0,0,0,0,0,236783,3,0
0,0,0,0,28,29,52,271,0,0,0,0,0,241574,3,0
0,0,0,0,34,29,53,271,0,0,0,0,0,235508,3,0
0,0,0,0,13,0,54,272,0,0,0,0,0,183475,2,0
0,0,0,0,4,2,55,272,0,0,0,0,0,201527,3,0
0,0,0,0,2,4,56,272,0,0,0,0,0,155541,3,0
1,0,0,1,6,5,57,272,0,0,0,0,0,224067,2,0
0,0,0,0,3,6,58,272,0,0,0,0,0,204164,2,0
1,0,0,1,20,8,59,272,0,0,0,0,0,219957,2,0
0,0,0,0,23,13,60,272,0,0,0,0,0,205535,2,0
0,0,0,0,8,14,61,272,0,0,0,0,0,178461,2,0
0,0,0,0,16,15,62,272,0,0,0,0,0,239175,2,0
3,0,0,1,15,24,63,272,0,0,0,0,0,201265,2,0
1,0,0,1,28,26,64,272,0,0,0,0,0,184143,3,0
0,0,0,0,9,28,65,272,0,0,0,0,0,201304,2,0
0,0,0,0,14,28,66,272,0,0,0,0,0,223186,3,0
0,0,0,0,11,28,67,272,0,0,0,0,0,210739,3,0
0,0,0,0,19,28,68,272,0,0,0,0,0,212170,3,0
0,0,0,0,27,28,69,272,0,0,0,0,0,236758,3,0
1,0,0,1,10,28,70,272,0,0,0,0,0,215668,3,0
0,0,0,0,24,28,71,272,0,0,0,0,0,229724,3,0
0,0,0,0,7,28,72,272,0,0,0,0,0,176636,3,0
0,0,0,0,17,28,73,272,0,0,0,0,0,243369,3,0
2,0,0,1,25,28,74,272,0,0,0,0,0,243371,3,0
0,0,0,0,21,28,75,272,0,0,0,0,0,224483,2,0
0,0,0,0,29,28,76,272,0,0,0,0,0,243876,3,0
0,0,0,0,30,29,77,272,0,0,0,0,0,209002,3,0
0,0,0,0,5,29,78,272,0,0,0,0,0,172850,2,0
0,0,0,0,26,29,79,272,0,0,0,0,0,234095,3,0
0,0,0,0,21,0,80,819,0,0,0,0,0,199904,3,0
0,0,0,0,22,3,81,819,0,0,0,0,0,208564,3,0
0,0,0,0,19,4,82,819,0,0,0,0,0,240988,3,0
0,0,0,0,5,6,83,819,0,0,0,0,0,183781,3,0
0,0,0,0,20,7,84,819,0,0,0,0,0,200108,3,0
4,0,0,1,29,12,85,819,1,0,0,0,1,215449,5,0
1,0,0,1,33,13,86,819,0,0,0,0,0,201303,3,0
0,0,0,0,10,15,87,819,0,0,0,0,0,168621,3,0
1,0,0,1,8,16,88,819,0,0,0,0,0,205929,3,0
7,1,0,1,14,24,89,819,0,0,0,0,2,179875,3,0
6,1,0,1,7,26,90,819,1,0,0,0,2,203965,4,0
0,0,0,0,11,28,91,819,0,0,0,0,0,211068,3,0
1,0,0,1,16,28,92,819,0,0,0,0,0,194063,3,0
0,0,0,0,3,28,93,819,0,0,0,0,0,181343,3,0
0,0,0,0,18,28,94,819,0,0,0,0,0,238157,3,0
0,0,0,0,1,28,95,819,0,0,0,0,0,125586,3,0
0,0,0,0,28,28,96,819,0,0,0,0,0,218651,3,0
1,0,0,1,26,28,97,819,0,0,0,0,0,240040,3,0
0,0,0,0,4,28,98,819,0,0,0,0,0,226583,3,0
0,0,0,0,31,28,99,819,0,0,0,0,0,243699,3,0
0,0,0,0,6,28,100,819,0,0,0,0,0,158676,3,0
0,0,0,0,23,28,101,819,0,0,0,0,0,241522,3,0
0,0,0,0,27,28,102,819,0,0,0,0,0,239402,3,0
0,0,0,0,1,0,103,820,0,0,0,0,0,221584,4,0
0,0,0,0,6,3,104,820,0,0,0,0,0,216134,3,0
0,0,0,0,5,4,105,820,0,0,0,0,0,204163,4,0
0,0,0,0,4,6,106,820,0,0,0,0,0,213528,3,0
0,0,0,0,3,7,107,820,0,0,0,0,0,194726,4,0
1,0,0,1,17,12,108,820,0,0,0,0,0,201266,3,0
1,0,0,1,27,13,109,820,0,0,0,0,1,229082,3,0
0,0,0,0,8,15,110,820,0,0,0,0,0,131444,3,0
1,0,0,1,10,16,111,820,1,0,0,0,1,203903,3,0
2,0,0,1,9,24,112,820,2,0,0,0,2,223730,5,0
1,0,0,1,11,26,113,820,0,0,0,0,0,229701,3,0
0,0,0,0,30,28,114,820,0,0,0,0,0,242515,3,0
0,0,0,0,23,28,115,820,0,0,0,0,0,225999,3,0
1,0,0,1,32,28,116,820,1,0,0,0,1,213543,5,0
0,0,0,0,2,28,117,820,0,0,0,0,0,172573,3,0
0,0,0,0,22,28,118,820,0,0,0,0,0,239797,3,0
1,0,0,1,21,28,119,820,0,0,0,0,0,138729,3,0
0,0,0,0,25,28,120,820,0,0,0,0,0,224311,4,0
0,0,0,0,33,28,121,820,0,0,0,0,0,234896,3,0
3,0,0,1,18,28,122,820,0,0,0,0,2,234677,3,0
0,0,0,0,16,28,123,820,0,0,0,0,0,234982,3,0
0,0,0,0,29,28,124,820,0,0,0,0,0,245264,3,0
0,0,0,0,15,28,125,820,0,0,0,0,0,243366,3,0
0,0,0,0,20,29,126,820,0,0,0,0,0,243347,3,0
0,0,0,0,19,29,127,820,0,0,0,0,0,234393,3,0
0,0,0,0,28,29,128,820,0,0,0,0,0,243348,3,0
0,0,0,0,24,29,129,820,0,0,0,0,0,245849,3,0
0,0,0,0,91,0,130,822,0,0,0,0,0,210428,5,0
0,0,0,0,4,4,131,822,0,0,0,0,0,225948,5,0
2,0,0,1,15,5,132,822,0,0,0,0,1,198535,5,0
1,0,0,1,22,6,133,822,0,0,0,0,0,215657,5,0
0,0,0,0,16,10,134,822,0,0,0,0,0,243787,4,0
0,0,0,0,9,12,135,822,0,0,0,0,0,243886,4,0
0,0,0,0,30,13,136,822,0,0,0,0,0,243788,4,0
1,0,0,1,20,15,137,822,0,0,0,0,0,204730,3,0
0,0,0,0,3,16,138,822,0,0,0,0,0,206286,4,0
4,0,0,1,50,24,139,822,0,0,0,0,0,243793,4,0
0,0,0,0,7,26,140,822,0,0,0,0,0,227958,3,0
0,0,0,0,8,28,141,822,0,0,0,0,0,210742,3,0
0,0,0,0,10,28,142,822,0,0,0,0,0,200900,4,0
0,0,0,0,26,28,143,822,0,0,0,0,0,245775,3,0
0,0,0,0,23,28,144,822,0,0,0,0,0,243868,3,0
0,0,0,0,1,28,145,822,0,0,0,0,0,221163,3,0
1,0,0,1,11,28,146,822,1,0,0,0,1,223933,5,0
0,0,0,0,24,28,147,822,0,0,0,0,0,243790,3,0
0,0,0,0,45,28,148,822,0,0,0,0,0,243750,3,0
0,0,0,0,25,28,149,822,0,0,0,0,0,243794,3,0
0,0,0,0,12,28,150,822,0,0,0,0,0,243795,3,0
0,0,0,0,31,28,151,822,0,0,0,0,0,243796,3,0
0,0,0,0,2,28,152,822,0,0,0,0,0,244864,3,0
0,0,0,0,66,29,153,822,0,0,0,0,0,243751,3,0
0,0,0,0,19,29,154,822,0,0,0,0,0,244587,3,0
0,0,0,0,27,29,155,822,0,0,0,0,0,244693,3,0
0,0,0,0,16,0,156,1445,0,0,0,0,0,213545,2,0
0,0,0,0,40,3,157,1445,0,0,0,0,0,234501,3,0
0,0,0,0,5,4,158,1445,0,0,0,0,0,150894,2,0
0,0,0,0,4,6,159,1445,0,0,0,0,0,177645,2,0
0,0,0,0,14,7,160,1445,0,0,0,0,0,199747,2,0
1,0,0,1,6,10,161,1445,0,0,0,0,0,237882,2,0
1,0,0,1,26,23,162,1445,0,0,0,0,0,229725,2,0
3,0,0,1,7,13,163,1445,0,0,0,0,0,216273,2,0
2,0,0,1,38,15,164,1445,0,0,0,0,1,233705,2,0
0,0,0,0,17,27,165,1445,0,0,0,0,0,235527,3,0
2,0,0,1,9,25,166,1445,0,0,0,0,0,239365,3,0
0,0,0,0,22,28,167,1445,0,0,0,0,0,198761,3,0
2,0,0,1,23,28,168,1445,0,0,0,0,1,243982,2,0
