assetid,balltype,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,teamcolor2r,foundationyear,teamcolor3r,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,teamcolor2g,teamname,teamcolor3b,defmentality,powid,defensivestyle,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,popularity,hastifo,teamstadiumcapacity,iscompetitionscarfenabled,cityid,defensivewidth,rivalteam,isbannerenabled,midfieldrating,matchdayoverallrating,matchdaymidfieldrating,attackrating,playersinboxcorner,longitude,buspassing,matchdaydefenserating,defenserating,iscompetitionpoleflagenabled,skinnyflags,defteamwidth,longkicktakerid,bodytypeid,trait1vweak,busdribbling,rightcornerkicktakerid,suitvariationid,uefa_cl_wins,domesticcups,defaggression,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,suittypeid,numtransfersin,playersinboxfk,stanchionflamethrower,captainid,offensivestyle,personalityid,playersinboxcross,prev_el_champ,leftfreekicktakerid,leaguetitles,genericbanner,buspositioning,ccpositioning,busbuildupspeed,transferbudget,ccshooting,overallrating,offensivewidth,ccpassing,profitability,utcoffset,penaltytakerid,freekicktakerid,crowdskintonecode,defdefenderline,internationalprestige,trainingstadium,form,genericint1,cccrossing,trait1vstrong,matchdayattackrating
1,120,1,204,2400000,255,255,1886,210,1,5,51,10,3,255,Arsenal,10,68,-1,3,209781,4,8,-1,6,0,1,9,0,60260,0,285,4,18,1,83,82,83,84,2,0,30,81,81,0,0,32,209781,0,131714,46,203910,1,0,13,62,2,203910,4,1,0,131714,0,0,2,0,142784,0,0,2,0,209781,13,0,0,1,36,92500000,48,82,5,25,3,0,220245,176635,2,0,8,353,0,-1,42,263298,84
2,45,24,97,50000,211,153,1874,97,53,3,52,24,1,177,Aston Villa,53,45,-1,1,206517,4,8,-1,4,0,2,7,0,42785,2,54,4,109,2,73,73,74,74,2,-1,51,73,72,2,0,48,206517,2,1073280,54,210881,1,1,7,37,2,206517,5,2,0,1073280,2,0,2,0,186130,1,0,5,0,206517,7,0,0,0,52,5000000,48,73,4,57,9,0,186783,206517,2,0,2,353,0,-1,74,542848,75
3,45,76,1,15000,255,255,1875,1,182,3,53,76,3,255,Blackburn Rovers,202,46,-1,1,178417,4,10,-1,4,0,2,4,0,31154,2,55,4,1796,2,69,69,70,68,2,-2,50,69,68,2,0,52,178417,1,1073472,38,178417,1,0,6,45,2,211098,5,3,0,1073472,0,0,2,0,178417,1,0,2,0,178417,3,0,0,0,51,3900000,52,69,4,45,6,0,178417,178417,2,0,1,353,0,-1,68,545088,68
4,45,255,255,8000,63,8,1874,255,255,3,53,255,3,21,Bolton Wanderers,255,28,-1,0,203537,4,1,-1,3,0,2,4,0,28723,2,61,4,1917,2,69,68,69,67,2,-2,68,68,69,2,0,35,203060,1,286784,39,203060,1,0,4,30,2,203060,6,4,0,542784,2,0,2,0,165736,3,1,4,0,203537,0,0,0,0,72,2300000,79,69,4,79,8,0,186562,203537,2,0,1,353,0,-1,79,542784,64
5,120,61,1,2450000,255,255,1905,10,169,5,51,70,1,255,Chelsea,178,67,-1,1,51123,4,9,-1,4,0,1,9,0,40853,1,285,3,1,1,85,83,85,84,2,0,37,82,82,0,0,65,231493,1,164873,54,51123,1,1,8,65,4,51123,2,5,1,164873,2,0,2,0,241234,0,1,5,0,51123,6,0,0,0,40,95000000,35,83,4,35,3,0,51123,192638,2,0,9,353,0,-1,35,263177,85
7,120,54,1,1100000,255,255,1878,25,156,4,53,74,2,255,Everton,168,48,-1,1,184484,4,7,-1,6,0,2,7,0,39221,0,282,5,9,0,79,78,78,80,2,-2,36,77,78,0,0,31,184484,1,132136,32,184484,1,0,5,43,2,184484,5,7,0,1049640,0,0,2,0,180216,0,0,5,0,184484,9,0,0,0,38,75000000,53,79,5,33,4,0,184484,184484,2,0,6,353,0,-1,53,528424,79
8,45,255,255,65000,134,46,1919,235,255,3,53,225,3,67,Leeds United,1,59,-1,4,179591,4,7,-1,4,0,1,6,0,37890,2,269,4,1939,1,72,73,73,71,2,-1,51,75,73,2,0,34,179591,2,66705,44,179591,1,0,1,74,2,179591,6,8,0,73873,2,0,2,0,189456,1,1,2,0,179591,3,0,0,0,52,10500000,38,72,4,41,4,0,179591,179591,2,0,1,353,0,-1,44,559249,71
9,120,1,204,2350000,255,255,1892,225,1,4,53,10,2,255,Liverpool,10,66,-1,3,238067,4,9,-1,5,0,1,9,0,53394,1,282,5,11,0,82,83,83,85,2,-2,50,82,81,0,0,68,238067,1,164992,78,227503,1,5,7,68,2,227503,4,9,3,172160,2,0,2,0,233569,0,1,3,0,238067,18,0,0,1,51,90000000,62,83,5,65,4,0,233569,209331,2,0,8,353,0,-1,58,172160,85
10,120,177,133,2800000,255,255,1880,123,222,4,53,184,1,255,Manchester City,246,60,-1,3,187688,4,10,-1,4,0,2,9,0,55017,0,300,3,11,0,87,86,88,85,2,-2,30,84,83,0,0,38,184826,0,98976,52,187688,1,0,5,78,5,187688,3,10,0,98976,1,0,2,0,216497,0,1,5,0,187688,5,0,1,1,30,170000000,58,85,4,34,1,0,184826,192985,2,0,9,353,0,-1,48,99488,87
11,120,14,226,3519000,255,255,1878,1,14,5,53,1,1,255,Manchester United,1,47,-1,2,183130,0,10,-1,5,0,2,10,0,74879,0,300,5,9,0,84,83,83,84,2,-2,51,81,80,0,0,48,180283,1,1066244,60,183130,1,3,12,49,5,183130,4,11,1,1073412,0,0,2,0,185422,0,0,4,0,183130,20,0,0,1,53,175000000,48,83,6,69,2,0,180283,184941,2,0,10,353,0,-1,80,545028,84
12,45,25,224,180000,255,255,1876,235,34,5,54,25,3,255,Middlesbrough,34,29,-1,0,54013,4,9,-1,2,0,2,5,0,34000,2,315,2,13,2,72,72,73,73,2,-1,73,72,72,2,0,28,54013,1,1089602,50,54013,1,0,0,29,2,186385,5,12,0,544834,2,0,2,0,188168,2,1,2,0,193290,0,0,0,1,71,21200000,72,72,5,79,4,0,203304,54013,2,0,1,353,0,-1,70,544834,72
13,120,1,1,983000,255,255,1892,1,1,4,54,1,4,255,Newcastle United,1,46,-1,1,206085,4,5,-1,4,0,1,7,0,52354,0,342,4,106,0,76,75,75,76,3,-1,49,76,76,0,0,31,206085,2,1056784,33,206085,1,0,6,35,4,206085,5,13,0,1056784,0,0,2,0,206115,0,0,7,0,206085,4,0,0,0,51,40000000,31,76,4,55,9,0,206085,186395,2,0,3,353,0,-1,33,542736,76
14,45,36,221,80000,255,255,1865,210,33,4,52,36,9,255,Nottingham Forest,33,43,-1,1,210985,4,8,-1,4,0,2,5,0,30445,2,352,4,91,2,71,72,71,75,2,-1,40,69,69,2,0,45,210985,1,1049632,54,210985,0,2,2,39,4,210985,6,14,0,1082400,0,0,2,0,158902,0,0,5,0,210985,1,0,0,1,40,20800000,35,72,4,35,1,0,172960,210985,2,0,1,353,0,-1,35,565280,76
